player_name,round,transfers_in,transfers_out,net_transfers,transfer_in_pct,transfer_out_pct,tag,status,cost,avg_points,proj_avg,owned_by_pct
Travis Boak,2,72,1,71,0.04,0.0,,uncertain,814000,83.5,70.36,0.36
Travis Boak,3,45,10,35,0.03,0.01,,uncertain,814000,83.5,70.36,0.36
Travis Boak,4,9,30,-21,0.01,0.02,,uncertain,814000,83.5,70.36,0.36
Travis Boak,5,25,32,-7,0.02,0.02,,uncertain,814000,83.5,70.36,0.36
Travis Boak,6,5,15,-10,0.0,0.01,,uncertain,814000,83.5,70.36,0.36
Scott Pendlebury,2,8,74,-66,0.0,0.05,,playing,718000,71.4,77.0,2.08
Scott Pendlebury,3,6,84,-78,0.0,0.05,,playing,718000,71.4,77.0,2.08
Scott Pendlebury,4,11,13,-2,0.01,0.01,,playing,718000,71.4,77.0,2.08
Scott Pendlebury,5,65,6,59,0.04,0.0,,playing,718000,71.4,77.0,2.08
Scott Pendlebury,6,90,4,86,0.08,0.0,,playing,718000,71.4,77.0,2.08
Dayne Zorko,2,827,21,806,0.5,0.01,,playing,1076000,105.2,101.32,16.36
Dayne Zorko,3,2080,16,2064,1.26,0.01,hot_pick,playing,1076000,105.2,101.32,16.36
Dayne Zorko,4,3653,11,3642,2.21,0.01,hot_pick,playing,1076000,105.2,101.32,16.36
Dayne Zorko,5,234,214,20,0.14,0.13,,playing,1076000,105.2,101.32,16.36
Dayne Zorko,6,132,144,-12,0.12,0.13,,playing,1076000,105.2,101.32,16.36
Patrick Dangerfield,2,20,41,-21,0.01,0.02,,uncertain,754000,75.4,75.43,1.02
Patrick Dangerfield,3,8,51,-43,0.0,0.03,,uncertain,754000,75.4,75.43,1.02
Patrick Dangerfield,4,25,17,8,0.02,0.01,,uncertain,754000,75.4,75.43,1.02
Patrick Dangerfield,5,120,7,113,0.07,0.0,,uncertain,754000,75.4,75.43,1.02
Patrick Dangerfield,6,150,5,145,0.14,0.0,,uncertain,754000,75.4,75.43,1.02
Todd Goldstein,2,1,71,-70,0.0,0.04,,uncertain,614000,0.0,72.38,0.39
Todd Goldstein,3,2,39,-37,0.0,0.02,,uncertain,614000,0.0,72.38,0.39
Todd Goldstein,4,1,45,-44,0.0,0.03,,uncertain,614000,0.0,72.38,0.39
Todd Goldstein,5,0,29,-29,0.0,0.02,,uncertain,614000,0.0,72.38,0.39
Todd Goldstein,6,11,12,-1,0.01,0.01,,uncertain,614000,0.0,72.38,0.39
Callan Ward,2,3,85,-82,0.0,0.05,,uncertain,614000,60.8,71.13,0.84
Callan Ward,3,5,12,-7,0.0,0.01,,uncertain,614000,60.8,71.13,0.84
Callan Ward,4,1,41,-40,0.0,0.02,,uncertain,614000,60.8,71.13,0.84
Callan Ward,5,11,17,-6,0.01,0.01,,uncertain,614000,60.8,71.13,0.84
Callan Ward,6,56,2,54,0.05,0.0,,uncertain,614000,60.8,71.13,0.84
Rhys Stanley,2,12,81,-69,0.01,0.05,,uncertain,677000,71.5,74.42,0.94
Rhys Stanley,3,5,80,-75,0.0,0.05,,uncertain,677000,71.5,74.42,0.94
Rhys Stanley,4,28,50,-22,0.02,0.03,,uncertain,677000,71.5,74.42,0.94
Rhys Stanley,5,260,9,251,0.16,0.01,,uncertain,677000,71.5,74.42,0.94
Rhys Stanley,6,72,14,58,0.07,0.01,,uncertain,677000,71.5,74.42,0.94
Taylor Walker,2,10,32,-22,0.01,0.02,,uncertain,697000,74.2,63.34,0.72
Taylor Walker,3,15,15,0,0.01,0.01,,uncertain,697000,74.2,63.34,0.72
Taylor Walker,4,61,7,54,0.04,0.0,,uncertain,697000,74.2,63.34,0.72
Taylor Walker,5,66,12,54,0.04,0.01,,uncertain,697000,74.2,63.34,0.72
Taylor Walker,6,14,11,3,0.01,0.01,,uncertain,697000,74.2,63.34,0.72
Luke Breust,2,4,30,-26,0.0,0.02,,uncertain,346000,25.0,60.37,0.6
Luke Breust,3,23,26,-3,0.01,0.02,,uncertain,346000,25.0,60.37,0.6
Luke Breust,4,0,34,-34,0.0,0.02,,uncertain,346000,25.0,60.37,0.6
Luke Breust,5,9,13,-4,0.01,0.01,,uncertain,346000,25.0,60.37,0.6
Luke Breust,6,7,9,-2,0.01,0.01,,uncertain,346000,25.0,60.37,0.6
Jake Melksham,2,1,11,-10,0.0,0.01,,uncertain,428000,37.7,53.29,0.1
Jake Melksham,3,2,5,-3,0.0,0.0,,uncertain,428000,37.7,53.29,0.1
Jake Melksham,4,5,2,3,0.0,0.0,,uncertain,428000,37.7,53.29,0.1
Jake Melksham,5,5,3,2,0.0,0.0,,uncertain,428000,37.7,53.29,0.1
Jake Melksham,6,2,1,1,0.0,0.0,,uncertain,428000,37.7,53.29,0.1
Steele Sidebottom,2,50,3,47,0.03,0.0,,playing,836000,90.6,78.14,1.44
Steele Sidebottom,3,12,59,-47,0.01,0.04,,playing,836000,90.6,78.14,1.44
Steele Sidebottom,4,35,9,26,0.02,0.01,,playing,836000,90.6,78.14,1.44
Steele Sidebottom,5,74,7,67,0.05,0.0,,playing,836000,90.6,78.14,1.44
Steele Sidebottom,6,150,5,145,0.14,0.0,,playing,836000,90.6,78.14,1.44
Michael Walters,2,0,60,-60,0.0,0.04,,injured,454000,0.0,57.22,0.25
Michael Walters,3,1,27,-26,0.0,0.02,,injured,454000,0.0,57.22,0.25
Michael Walters,4,0,25,-25,0.0,0.02,,injured,454000,0.0,57.22,0.25
Michael Walters,5,0,17,-17,0.0,0.01,,injured,454000,0.0,57.22,0.25
Michael Walters,6,0,10,-10,0.0,0.01,,injured,454000,0.0,57.22,0.25
Mitch Duncan,2,1,36,-35,0.0,0.02,,uncertain,795000,0.0,73.29,0.2
Mitch Duncan,3,2,17,-15,0.0,0.01,,uncertain,795000,0.0,73.29,0.2
Mitch Duncan,4,2,15,-13,0.0,0.01,,uncertain,795000,0.0,73.29,0.2
Mitch Duncan,5,0,18,-18,0.0,0.01,,uncertain,795000,0.0,73.29,0.2
Mitch Duncan,6,0,7,-7,0.0,0.01,,uncertain,795000,0.0,73.29,0.2
Liam Jones,2,1,41,-40,0.0,0.02,,uncertain,473000,40.3,48.37,0.25
Liam Jones,3,24,10,14,0.01,0.01,,uncertain,473000,40.3,48.37,0.25
Liam Jones,4,25,5,20,0.02,0.0,,uncertain,473000,40.3,48.37,0.25
Liam Jones,5,8,10,-2,0.0,0.01,,uncertain,473000,40.3,48.37,0.25
Liam Jones,6,7,7,0,0.01,0.01,,uncertain,473000,40.3,48.37,0.25
Steven May,2,0,533,-533,0.0,0.32,falling,uncertain,746000,70.3,75.08,0.71
Steven May,3,15,107,-92,0.01,0.06,,uncertain,746000,70.3,75.08,0.71
Steven May,4,5,19,-14,0.0,0.01,,uncertain,746000,70.3,75.08,0.71
Steven May,5,59,5,54,0.04,0.0,,uncertain,746000,70.3,75.08,0.71
Steven May,6,3,34,-31,0.0,0.03,,uncertain,746000,70.3,75.08,0.71
Taylor Duryea,2,6,20,-14,0.0,0.01,,injured,565000,38.0,62.21,0.07
Taylor Duryea,3,0,23,-23,0.0,0.01,,injured,565000,38.0,62.21,0.07
Taylor Duryea,4,0,33,-33,0.0,0.02,,injured,565000,38.0,62.21,0.07
Taylor Duryea,5,0,8,-8,0.0,0.0,,injured,565000,38.0,62.21,0.07
Taylor Duryea,6,0,7,-7,0.0,0.01,,injured,565000,38.0,62.21,0.07
Tom Campbell,2,3,77,-74,0.0,0.05,,injured,316000,0.0,60.99,2.2
Tom Campbell,3,9,72,-63,0.01,0.04,,injured,316000,0.0,60.99,2.2
Tom Campbell,4,2,64,-62,0.0,0.04,,injured,316000,0.0,60.99,2.2
Tom Campbell,5,5,50,-45,0.0,0.03,,injured,316000,0.0,60.99,2.2
Tom Campbell,6,1,50,-49,0.0,0.05,,injured,316000,0.0,60.99,2.2
Dane Rampe,2,152,30,122,0.09,0.02,,uncertain,582000,63.4,57.81,2.17
Dane Rampe,3,75,165,-90,0.05,0.1,,uncertain,582000,63.4,57.81,2.17
Dane Rampe,4,124,19,105,0.08,0.01,,uncertain,582000,63.4,57.81,2.17
Dane Rampe,5,85,47,38,0.05,0.03,,uncertain,582000,63.4,57.81,2.17
Dane Rampe,6,9,59,-50,0.01,0.06,,uncertain,582000,63.4,57.81,2.17
Lachlan Keeffe,2,105,252,-147,0.06,0.15,,uncertain,467000,51.3,56.64,3.95
Lachlan Keeffe,3,305,65,240,0.18,0.04,,uncertain,467000,51.3,56.64,3.95
Lachlan Keeffe,4,110,209,-99,0.07,0.13,,uncertain,467000,51.3,56.64,3.95
Lachlan Keeffe,5,36,424,-388,0.02,0.26,,uncertain,467000,51.3,56.64,3.95
Lachlan Keeffe,6,35,158,-123,0.03,0.15,,uncertain,467000,51.3,56.64,3.95
Max Gawn,2,460,110,350,0.28,0.07,,uncertain,1002000,97.4,102.46,18.57
Max Gawn,3,38,1086,-1048,0.02,0.66,falling,uncertain,1002000,97.4,102.46,18.57
Max Gawn,4,67,925,-858,0.04,0.56,falling,uncertain,1002000,97.4,102.46,18.57
