player_name,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
Travis Boak,72,1,45,10,9,30,25,32,5,15
Scott Pendlebury,8,74,6,84,11,13,65,6,90,4
Dayne Zorko,827,21,2080,16,3653,11,234,214,132,144
Patrick Dangerfield,20,41,8,51,25,17,120,7,150,5
Todd Goldstein,1,71,2,39,1,45,0,29,11,12
Callan Ward,3,85,5,12,1,41,11,17,56,2
Rhys Stanley,12,81,5,80,28,50,260,9,72,14
Taylor Walker,10,32,15,15,61,7,66,12,14,11
Luke Breust,4,30,23,26,0,34,9,13,7,9
Jake Melksham,1,11,2,5,5,2,5,3,2,1
Steele Sidebottom,50,3,12,59,35,9,74,7,150,5
Michael Walters,0,60,1,27,0,25,0,17,0,10
Mitch Duncan,1,36,2,17,2,15,0,18,0,7
Liam Jones,1,41,24,10,25,5,8,10,7,7
Steven May,0,533,15,107,5,19,59,5,3,34
Taylor Duryea,6,20,0,23,0,33,0,8,0,7
Tom Campbell,3,77,9,72,2,64,5,50,1,50
Dane Rampe,152,30,75,165,124,19,85,47,9,59
Lachlan Keeffe,105,252,305,65,110,209,36,424,35,158
Max Gawn,460,110,38,1086,67,925,94,294,966,27
Cameron Guthrie,0,28,0,13,0,11,0,8,0,7
Dion Prestia,0,21,0,13,0,5,0,6,0,1
Jimmy Webster,2,8,11,6,11,3,3,12,1,13
Luke Parker,40,47,17,83,33,68,169,11,15,71
Tom Liberatore,280,7,806,10,4782,4,1054,42,58,325
Jamie Cripps,5,10,2,5,1,1,1,9,1,5
David Swallow,6,71,2,67,0,48,0,46,0,16
Jack Darling,24,13,34,14,3,20,2,106,2,11
Jeremy Howe,19,70,8,92,23,18,11,40,5,47
Jack Gunston,10,8,11,1,5,7,21,5,138,1
Tom McDonald,12,0,2,1,3,2,29,0,3,4
Ryan Lester,5,14,58,2,28,2,2,30,1,18
Nat Fyfe,0,89,4,35,2,38,4,33,0,31
Will Hoskin-Elliott,0,29,2,7,0,6,1,9,2,0
Brodie Smith,0,19,1,12,1,8,0,4,0,1
Sam Day,12,4,3,9,3,4,9,5,3,0
Taylor Adams,0,138,4,30,0,54,2,36,0,14
Dylan Shiel,10,296,4,499,3,227,53,17,207,11
Adam Treloar,2,288,3,105,2,76,1,32,1,10
Tom Stewart,261,31,41,1352,73,237,505,454,726,314
Robbie Fox,0,15,2,6,0,12,0,12,0,4
Brody Mihocek,4,56,0,38,6,28,2,10,2,3
Tom Mitchell,0,10,0,7,0,3,0,3,0,1
Jack Viney,8,2,2,7,10,17,3,35,5,11
Stephen Coniglio,6,108,9,14,19,40,7,77,9,47
Jarrod Witts,21,185,347,10,88,44,278,17,88,24
Harry Cunningham,1,8,0,5,1,9,0,2,0,1
Elliot Yeo,0,35,0,13,0,10,0,8,0,4
Rory Laird,43,5,29,31,31,16,24,32,155,14
Lachie Neale,166,474,354,56,350,114,1509,29,138,98
Lincoln McCarthy,0,32,0,18,0,11,0,9,0,4
Sam Frost,17,211,17,165,8,110,13,65,6,35
Jamie Elliott,20,20,6,99,8,18,8,54,8,17
Tom Lynch,15,507,35,73,14,116,21,162,4,125
Jeremy Cameron,208,26,23,246,18,596,29,84,19,62
Jack Crisp,21,7,3,99,21,13,15,18,9,6
Jed Bews,4,80,2,34,0,35,0,22,0,7
Jake Stringer,4,20,13,31,15,9,1,14,0,6
Brodie Grundy,28,81,3,379,38,55,114,38,144,13
Sean Lemmens,0,25,2,13,3,10,1,9,1,6
George Hewett,35,6,467,3,535,4,2398,6,1091,4
Jason Johannisen,1,18,0,8,0,5,3,2,0,1
Lachie Whitfield,16,2157,683,75,1221,30,3916,13,719,51
Ollie Wines,20,4,41,4,15,5,8,21,3,18
Aliir Aliir,20,130,41,38,43,57,52,64,12,82
Rory Atkins,0,7,0,8,2,4,0,3,0,1
Aidan Corr,522,3,272,22,59,36,114,48,3,103
Kamdyn McIntosh,53,96,87,18,395,4,167,165,49,105
Tim Membrey,103,2,5,119,10,15,2,50,5,39
Jaeger O'Meara,160,4,182,9,281,51,48,137,17,116
