player_id,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
250365,72,1,45,10,9,30,25,32,5,15
260257,8,74,6,84,11,13,65,6,90,4
261224,827,21,2080,16,3653,11,234,214,132,144
270917,20,41,8,51,25,17,120,7,150,5
271129,1,71,2,39,1,45,0,29,11,12
280109,3,85,5,12,1,41,11,17,56,2
280317,12,81,5,80,28,50,260,9,72,14
280506,10,32,15,15,61,7,66,12,14,11
280744,4,30,23,26,0,34,9,13,7,9
280824,1,11,2,5,5,2,5,3,2,1
280965,50,3,12,59,35,9,74,7,150,5
281007,0,60,1,27,0,25,0,17,0,10
281065,1,36,2,17,2,15,0,18,0,7
281078,1,41,24,10,25,5,8,10,7,7
281085,0,533,15,107,5,19,59,5,3,34
290085,6,20,0,23,0,33,0,8,0,7
290246,3,77,9,72,2,64,5,50,1,50
290307,152,30,75,165,124,19,85,47,9,59
290314,105,252,305,65,110,209,36,424,35,158
290528,460,110,38,1086,67,925,94,294,966,27
290550,0,28,0,13,0,11,0,8,0,7
290627,0,21,0,13,0,5,0,6,0,1
290757,2,8,11,6,11,3,3,12,1,13
290778,40,47,17,83,33,68,169,11,15,71
290799,280,7,806,10,4782,4,1054,42,58,325
290826,5,10,2,5,1,1,1,9,1,5
290832,6,71,2,67,0,48,0,46,0,16
290838,24,13,34,14,3,20,2,106,2,11
291313,19,70,8,92,23,18,11,40,5,47
291351,10,8,11,1,5,7,21,5,138,1
291533,12,0,2,1,3,2,29,0,3,4
291548,5,14,58,2,28,2,2,30,1,18
291570,0,89,4,35,2,38,4,33,0,31
291720,0,29,2,7,0,6,1,9,2,0
291748,0,19,1,12,1,8,0,4,0,1
291753,12,4,3,9,3,4,9,5,3,0
291776,0,138,4,30,0,54,2,36,0,14
291783,10,296,4,499,3,227,53,17,207,11
291790,2,288,3,105,2,76,1,32,1,10
291800,261,31,41,1352,73,237,505,454,726,314
291848,0,15,2,6,0,12,0,12,0,4
291849,4,56,0,38,6,28,2,10,2,3
